city,latitude,longitude,time,temperature_2m,aqi,pm2_5,pm10,no2,so2,co,precipitation,rain,showers,shortwave_radiation
Los_Angeles,34.0522,-118.2437,2026-03-18T00:00,33.5,58,18.9,22.0,42.1,15.3,233.0,0.0,0.0,0.0,478.5
Los_Angeles,34.0522,-118.2437,2026-03-18T01:00,31.6,57,19.3,22.1,54.3,14.6,341.0,0.0,0.0,0.0,265.5
Los_Angeles,34.0522,-118.2437,2026-03-18T02:00,31.0,57,22.4,24.4,71.0,13.7,484.0,0.0,0.0,0.0,66.0
Los_Angeles,34.0522,-118.2437,2026-03-18T03:00,26.3,57,22.4,24.5,83.6,13.2,597.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-18T04:00,25.2,57,25.1,27.2,88.1,13.6,660.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-18T05:00,23.8,57,30.0,32.4,88.3,14.4,693.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-18T06:00,22.4,58,36.9,39.5,87.5,14.9,688.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-18T07:00,20.2,60,40.9,43.1,86.3,14.8,623.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-18T08:00,19.6,60,39.9,41.6,84.0,14.4,520.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-18T09:00,18.7,61,38.0,39.3,81.5,14.0,435.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-18T10:00,18.4,61,37.0,38.3,79.1,13.5,384.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-18T11:00,18.1,61,36.6,37.8,76.5,13.0,352.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-18T12:00,18.4,61,34.3,35.6,71.4,12.9,343.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-18T13:00,18.8,62,31.1,32.5,67.5,12.0,378.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-18T14:00,19.0,62,30.0,31.4,62.2,11.0,437.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-18T15:00,20.7,62,33.9,35.3,59.2,11.1,468.0,0.0,0.0,0.0,67.8
Los_Angeles,34.0522,-118.2437,2026-03-18T16:00,22.3,63,35.2,36.7,60.8,13.5,440.0,0.0,0.0,0.0,274.2
Los_Angeles,34.0522,-118.2437,2026-03-18T17:00,24.8,63,29.0,32.1,64.7,17.1,385.0,0.0,0.0,0.0,491.5
Los_Angeles,34.0522,-118.2437,2026-03-18T18:00,27.9,63,25.1,28.8,67.5,20.1,340.0,0.0,0.0,0.0,676.2
Los_Angeles,34.0522,-118.2437,2026-03-18T19:00,31.9,63,24.0,27.2,68.0,21.8,323.0,0.0,0.0,0.0,812.5
Los_Angeles,34.0522,-118.2437,2026-03-18T20:00,34.4,63,23.0,25.7,67.5,22.9,318.0,0.0,0.0,0.0,883.2
Los_Angeles,34.0522,-118.2437,2026-03-18T21:00,36.2,63,22.4,24.5,66.5,23.5,310.0,0.0,0.0,0.0,878.5
Los_Angeles,34.0522,-118.2437,2026-03-18T22:00,35.2,63,22.0,24.0,63.1,23.4,283.0,0.0,0.0,0.0,803.8
Los_Angeles,34.0522,-118.2437,2026-03-18T23:00,32.9,63,21.5,23.3,59.2,22.7,254.0,0.0,0.0,0.0,669.2
Los_Angeles,34.0522,-118.2437,2026-03-19T00:00,31.5,63,15.9,16.2,53.7,21.3,261.0,0.0,0.0,0.0,487.5
Los_Angeles,34.0522,-118.2437,2026-03-19T01:00,30.1,63,16.0,16.3,65.9,19.6,334.0,0.0,0.0,0.0,270.0
Los_Angeles,34.0522,-118.2437,2026-03-19T02:00,27.5,63,18.3,18.5,82.8,17.3,443.0,0.0,0.0,0.0,68.5
Los_Angeles,34.0522,-118.2437,2026-03-19T03:00,23.5,63,20.1,20.3,94.9,16.0,535.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-19T04:00,22.9,63,22.9,23.0,97.9,16.7,599.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-19T05:00,22.3,63,27.6,27.8,96.2,18.4,647.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-19T06:00,20.5,63,34.2,34.5,93.8,19.6,658.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-19T07:00,20.5,63,39.7,40.0,91.8,19.6,610.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-19T08:00,20.2,63,40.4,41.0,89.2,19.0,526.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-19T09:00,18.8,63,38.3,38.9,86.5,18.2,451.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-19T10:00,17.6,63,36.9,37.6,84.1,17.3,394.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-19T11:00,17.4,63,36.2,36.9,81.6,16.2,346.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-19T12:00,18.2,63,30.6,31.7,72.9,12.8,330.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-19T13:00,17.2,62,30.6,31.5,70.9,12.4,372.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-19T14:00,16.6,62,30.9,31.5,68.4,12.0,446.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-19T15:00,18.1,62,35.7,36.4,67.2,12.9,493.0,0.0,0.0,0.0,69.8
Los_Angeles,34.0522,-118.2437,2026-03-19T16:00,20.3,63,35.0,36.2,69.2,16.3,487.0,0.0,0.0,0.0,276.5
Los_Angeles,34.0522,-118.2437,2026-03-19T17:00,22.5,63,27.6,29.2,72.6,21.0,454.0,0.0,0.0,0.0,496.0
Los_Angeles,34.0522,-118.2437,2026-03-19T18:00,24.8,62,25.5,27.0,74.4,24.6,420.0,0.0,0.0,0.0,680.8
Los_Angeles,34.0522,-118.2437,2026-03-19T19:00,29.1,63,24.4,26.0,73.2,26.1,388.0,0.0,0.0,0.0,811.5
Los_Angeles,34.0522,-118.2437,2026-03-19T20:00,33.0,63,23.2,24.7,70.4,26.4,355.0,0.0,0.0,0.0,880.8
Los_Angeles,34.0522,-118.2437,2026-03-19T21:00,35.9,63,21.9,23.2,67.4,25.9,335.0,0.0,0.0,0.0,880.8
Los_Angeles,34.0522,-118.2437,2026-03-19T22:00,36.2,63,20.5,21.6,62.4,24.3,325.0,0.0,0.0,0.0,812.5
Los_Angeles,34.0522,-118.2437,2026-03-19T23:00,34.2,62,19.4,20.4,57.2,22.0,327.0,0.0,0.0,0.0,674.2
Los_Angeles,34.0522,-118.2437,2026-03-20T00:00,32.9,62,15.3,15.6,51.0,17.3,367.0,0.0,0.0,0.0,492.8
Los_Angeles,34.0522,-118.2437,2026-03-20T01:00,30.8,62,15.1,15.4,65.8,16.6,480.0,0.0,0.0,0.0,277.2
Los_Angeles,34.0522,-118.2437,2026-03-20T02:00,26.7,62,17.9,18.1,86.1,15.6,631.0,0.0,0.0,0.0,72.5
Los_Angeles,34.0522,-118.2437,2026-03-20T03:00,25.6,62,20.6,20.7,100.4,15.0,736.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-20T04:00,22.7,62,24.3,24.5,103.0,15.3,758.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-20T05:00,21.8,62,28.1,28.2,99.7,16.0,735.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-20T06:00,22.1,62,34.2,34.6,95.6,16.3,700.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-20T07:00,21.1,62,37.4,38.0,92.2,15.6,660.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-20T08:00,19.4,62,38.8,39.3,88.0,14.5,609.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-20T09:00,18.6,62,38.9,39.5,84.5,13.6,559.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-20T10:00,18.0,62,39.3,39.8,82.2,13.2,501.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-20T11:00,19.2,62,39.9,40.4,80.5,12.9,444.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-20T12:00,19.3,63,39.6,39.9,80.6,12.6,428.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-20T13:00,17.8,63,35.5,35.9,77.8,11.9,495.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-20T14:00,17.0,63,33.5,34.0,74.2,11.1,604.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-20T15:00,19.0,63,37.6,38.1,73.0,11.9,667.0,0.0,0.0,0.0,72.5
Los_Angeles,34.0522,-118.2437,2026-03-20T16:00,22.4,63,38.0,38.6,77.0,15.7,642.0,0.0,0.0,0.0,283.0
Los_Angeles,34.0522,-118.2437,2026-03-20T17:00,24.7,63,29.8,31.2,83.4,21.1,571.0,0.0,0.0,0.0,500.8
Los_Angeles,34.0522,-118.2437,2026-03-20T18:00,29.0,63,28.7,29.9,87.3,25.6,502.0,0.0,0.0,0.0,684.8
Los_Angeles,34.0522,-118.2437,2026-03-20T19:00,31.2,63,28.3,29.2,86.7,28.6,447.0,0.0,0.0,0.0,814.5
Los_Angeles,34.0522,-118.2437,2026-03-20T20:00,34.5,64,27.6,28.3,83.7,30.8,394.0,0.0,0.0,0.0,881.2
Los_Angeles,34.0522,-118.2437,2026-03-20T21:00,35.5,64,26.6,27.2,79.5,31.8,348.0,0.0,0.0,0.0,880.5
Los_Angeles,34.0522,-118.2437,2026-03-20T22:00,32.8,64,25.7,26.2,72.3,31.4,300.0,0.0,0.0,0.0,810.2
Los_Angeles,34.0522,-118.2437,2026-03-20T23:00,32.8,64,24.9,25.3,64.0,29.9,261.0,0.0,0.0,0.0,676.2
Los_Angeles,34.0522,-118.2437,2026-03-21T00:00,31.7,64,15.9,16.4,44.9,20.0,264.0,0.0,0.0,0.0,496.2
Los_Angeles,34.0522,-118.2437,2026-03-21T01:00,29.6,64,15.8,16.7,57.2,17.8,346.0,0.0,0.0,0.0,281.0
Los_Angeles,34.0522,-118.2437,2026-03-21T02:00,26.1,64,17.8,19.2,74.3,14.7,472.0,0.0,0.0,0.0,74.2
Los_Angeles,34.0522,-118.2437,2026-03-21T03:00,21.5,64,20.8,22.2,87.6,12.8,570.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-21T04:00,20.7,64,24.7,26.1,93.5,13.3,611.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-21T05:00,19.0,64,27.4,28.9,95.6,15.0,625.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-21T06:00,18.7,64,28.3,30.0,95.8,15.9,628.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-21T07:00,18.6,64,28.6,30.3,93.7,14.8,628.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-21T08:00,17.7,64,28.6,30.4,89.6,12.9,618.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-21T09:00,16.7,63,30.5,32.2,86.5,11.5,593.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-21T10:00,17.5,63,31.5,33.3,85.6,11.2,538.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-21T11:00,16.1,63,32.1,34.0,85.7,11.4,468.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-21T12:00,15.2,63,42.5,43.4,92.5,15.2,424.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-21T13:00,15.4,63,40.9,41.1,92.7,15.5,436.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-21T14:00,14.4,63,41.2,41.3,92.9,16.1,473.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-21T15:00,16.4,63,47.7,47.8,93.1,18.2,490.0,0.0,0.0,0.0,70.0
Los_Angeles,34.0522,-118.2437,2026-03-21T16:00,19.5,63,49.4,49.4,94.0,23.6,461.0,0.0,0.0,0.0,260.5
Los_Angeles,34.0522,-118.2437,2026-03-21T17:00,22.4,64,39.0,39.1,94.8,30.5,411.0,0.0,0.0,0.0,456.8
Los_Angeles,34.0522,-118.2437,2026-03-21T18:00,25.5,64,37.4,37.7,92.9,35.1,365.0,0.0,0.0,0.0,653.0
Los_Angeles,34.0522,-118.2437,2026-03-21T19:00,27.6,64,35.0,35.5,86.8,35.6,332.0,0.0,0.0,0.0,804.2
Los_Angeles,34.0522,-118.2437,2026-03-21T20:00,29.4,65,31.1,31.8,78.1,33.8,304.0,0.0,0.0,0.0,880.5
Los_Angeles,34.0522,-118.2437,2026-03-21T21:00,29.2,65,26.7,27.6,68.5,30.8,280.0,0.0,0.0,0.0,872.8
Los_Angeles,34.0522,-118.2437,2026-03-21T22:00,27.7,65,22.1,23.1,56.2,26.3,254.0,0.0,0.0,0.0,791.5
Los_Angeles,34.0522,-118.2437,2026-03-21T23:00,27.5,65,18.1,19.0,43.1,20.7,233.0,0.0,0.0,0.0,654.2
Los_Angeles,34.0522,-118.2437,2026-03-22T00:00,25.5,64,15.0,17.6,22.8,10.3,239.0,0.0,0.0,0.0,494.5
Los_Angeles,34.0522,-118.2437,2026-03-22T01:00,23.2,64,14.2,16.4,33.3,9.8,294.0,0.0,0.0,0.0,278.2
Los_Angeles,34.0522,-118.2437,2026-03-22T02:00,19.6,64,15.6,17.3,47.9,9.1,376.0,0.0,0.0,0.0,72.5
Los_Angeles,34.0522,-118.2437,2026-03-22T03:00,18.0,64,17.9,19.4,59.9,9.0,439.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-22T04:00,18.2,64,20.7,22.0,66.7,10.0,463.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-22T05:00,16.1,64,22.9,24.2,71.0,11.5,468.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-22T06:00,16.3,64,26.8,27.9,73.9,13.0,468.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-22T07:00,15.5,64,30.3,31.7,75.4,14.2,466.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-22T08:00,15.5,64,32.9,34.5,75.5,15.2,460.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-22T09:00,15.5,64,35.7,37.4,75.8,16.3,451.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-22T10:00,16.1,64,37.7,39.3,77.3,17.5,436.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-22T11:00,15.7,64,37.5,39.0,79.1,18.6,419.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-22T12:00,15.2,65,28.6,29.9,73.6,14.9,415.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-22T13:00,16.1,64,28.8,30.3,71.8,14.1,440.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-22T14:00,16.2,64,29.5,31.3,69.3,13.2,477.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-22T15:00,15.7,63,37.8,39.6,66.9,14.0,490.0,0.0,0.0,0.0,26.8
Los_Angeles,34.0522,-118.2437,2026-03-22T16:00,16.4,63,31.1,33.1,65.4,18.4,457.0,0.0,0.0,0.0,134.2
Los_Angeles,34.0522,-118.2437,2026-03-22T17:00,17.6,62,30.3,32.8,64.1,24.5,399.0,0.0,0.0,0.0,245.2
Los_Angeles,34.0522,-118.2437,2026-03-22T18:00,19.8,62,28.3,31.3,61.1,28.5,348.0,0.0,0.0,0.0,400.5
Los_Angeles,34.0522,-118.2437,2026-03-22T19:00,22.8,62,26.4,29.3,54.9,28.5,314.0,0.0,0.0,0.0,708.0
Los_Angeles,34.0522,-118.2437,2026-03-22T20:00,24.4,62,25.1,27.8,47.0,26.4,286.0,0.0,0.0,0.0,778.8
Los_Angeles,34.0522,-118.2437,2026-03-22T21:00,26.2,61,23.3,25.7,40.7,24.3,263.0,0.0,0.0,0.0,821.2
Los_Angeles,34.0522,-118.2437,2026-03-22T22:00,25.6,61,21.7,24.2,35.7,22.9,241.0,0.0,0.0,0.0,803.5
Los_Angeles,34.0522,-118.2437,2026-03-22T23:00,26.9,61,21.0,23.7,32.1,21.6,225.0,0.0,0.0,0.0,602.5
Los_Angeles,34.0522,-118.2437,2026-03-23T00:00,24.5,61,22.1,25.4,32.5,19.8,227.0,0.0,0.0,0.0,482.0
Los_Angeles,34.0522,-118.2437,2026-03-23T01:00,23.0,62,21.5,24.6,41.5,18.7,258.0,0.0,0.0,0.0,267.0
Los_Angeles,34.0522,-118.2437,2026-03-23T02:00,19.7,62,21.4,24.0,54.2,17.3,307.0,0.0,0.0,0.0,73.0
Los_Angeles,34.0522,-118.2437,2026-03-23T03:00,18.7,62,22.3,24.4,65.8,17.0,359.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-23T04:00,18.1,62,25.5,27.6,75.4,18.8,412.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-23T05:00,16.6,62,29.9,32.1,83.9,21.7,468.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-23T06:00,16.3,63,34.3,36.6,89.8,24.0,514.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-23T07:00,16.2,63,39.2,41.4,92.1,25.1,547.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-23T08:00,16.4,63,43.4,45.8,91.9,25.7,569.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-23T09:00,16.2,63,44.4,46.9,90.4,25.4,579.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-23T10:00,15.5,64,44.2,47.0,87.5,23.8,566.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-23T11:00,14.7,64,44.7,47.6,83.3,21.5,540.0,0.0,0.0,0.0,0.0
Los_Angeles,34.0522,-118.2437,2026-03-23T12:00,14.6,64,36.7,40.6,70.7,11.1,530.0,0.0,0.0,0.0,0.0
