city,latitude,longitude,time,temperature_2m,aqi,pm2_5,pm10,no2,so2,co,precipitation,rain,showers,shortwave_radiation
Osaka,34.6937,135.5023,2026-03-18T00:00,7.3,28,16.8,18.2,33.1,17.9,454.0,0.0,0.0,0.0,307.0
Osaka,34.6937,135.5023,2026-03-18T01:00,9.1,29,13.3,15.1,33.3,17.8,440.0,0.0,0.0,0.0,365.0
Osaka,34.6937,135.5023,2026-03-18T02:00,10.6,30,13.3,15.3,33.7,17.6,416.0,0.0,0.0,0.0,361.0
Osaka,34.6937,135.5023,2026-03-18T03:00,11.7,31,14.7,16.6,35.4,17.7,404.0,0.0,0.0,0.0,282.0
Osaka,34.6937,135.5023,2026-03-18T04:00,11.4,30,16.9,18.7,39.1,18.3,417.0,0.0,0.0,0.0,97.0
Osaka,34.6937,135.5023,2026-03-18T05:00,10.6,31,21.1,22.8,44.1,19.1,442.0,0.5,0.5,0.0,53.0
Osaka,34.6937,135.5023,2026-03-18T06:00,9.1,32,25.1,26.4,49.2,19.6,461.0,1.5,1.5,0.0,188.0
Osaka,34.6937,135.5023,2026-03-18T07:00,9.1,33,28.5,29.5,55.1,19.6,467.0,1.4,1.4,0.0,99.0
Osaka,34.6937,135.5023,2026-03-18T08:00,9.3,35,29.3,30.3,61.2,19.3,467.0,2.6,2.6,0.0,50.0
Osaka,34.6937,135.5023,2026-03-18T09:00,9.4,37,27.7,28.8,64.4,18.9,467.0,1.5,1.5,0.0,14.0
Osaka,34.6937,135.5023,2026-03-18T10:00,9.4,39,24.7,25.7,63.1,18.7,465.0,0.8,0.8,0.0,0.0
Osaka,34.6937,135.5023,2026-03-18T11:00,9.4,40,22.6,23.6,58.9,18.4,464.0,1.1,1.1,0.0,0.0
Osaka,34.6937,135.5023,2026-03-18T12:00,9.4,41,23.6,24.9,47.3,17.7,478.0,1.4,1.4,0.0,0.0
Osaka,34.6937,135.5023,2026-03-18T13:00,9.4,43,22.7,23.7,45.4,16.6,533.0,2.3,2.3,0.0,0.0
Osaka,34.6937,135.5023,2026-03-18T14:00,9.6,45,21.5,22.4,42.5,15.1,603.0,2.0,2.0,0.0,0.0
Osaka,34.6937,135.5023,2026-03-18T15:00,9.4,46,20.2,20.8,38.4,13.6,623.0,1.7,1.7,0.0,0.0
Osaka,34.6937,135.5023,2026-03-18T16:00,9.4,46,19.4,20.2,31.9,12.1,538.0,5.5,5.5,0.0,0.0
Osaka,34.6937,135.5023,2026-03-18T17:00,9.5,46,19.7,20.8,24.1,10.6,403.0,2.2,2.2,0.0,0.0
Osaka,34.6937,135.5023,2026-03-18T18:00,10.7,46,19.2,20.1,18.6,9.6,319.0,1.4,1.4,0.0,0.0
Osaka,34.6937,135.5023,2026-03-18T19:00,11.8,45,17.4,18.2,17.4,9.7,346.0,1.7,1.7,0.0,0.0
Osaka,34.6937,135.5023,2026-03-18T20:00,11.4,44,12.8,13.2,18.5,10.4,425.0,1.9,1.9,0.0,0.0
Osaka,34.6937,135.5023,2026-03-18T21:00,11.1,43,8.4,8.6,18.9,10.5,472.0,3.0,3.0,0.0,0.0
Osaka,34.6937,135.5023,2026-03-18T22:00,10.6,41,8.7,8.8,17.7,9.2,448.0,1.9,1.9,0.0,5.0
Osaka,34.6937,135.5023,2026-03-18T23:00,11.1,39,5.6,5.8,15.8,7.4,394.0,0.0,0.0,0.0,40.0
Osaka,34.6937,135.5023,2026-03-19T00:00,11.0,38,10.9,12.4,17.8,6.9,349.0,0.0,0.0,0.0,143.0
Osaka,34.6937,135.5023,2026-03-19T01:00,11.8,37,10.4,12.5,14.5,6.4,329.0,0.0,0.0,0.0,127.0
Osaka,34.6937,135.5023,2026-03-19T02:00,13.1,39,9.7,12.4,9.9,5.6,318.0,0.0,0.0,0.0,330.0
Osaka,34.6937,135.5023,2026-03-19T03:00,14.1,41,10.6,13.6,6.5,4.9,309.0,0.0,0.0,0.0,416.0
Osaka,34.6937,135.5023,2026-03-19T04:00,13.7,43,11.3,14.3,5.1,4.4,302.0,0.0,0.0,0.0,390.0
Osaka,34.6937,135.5023,2026-03-19T05:00,13.5,43,12.2,15.6,4.9,4.0,297.0,0.0,0.0,0.0,432.0
Osaka,34.6937,135.5023,2026-03-19T06:00,11.8,43,12.9,16.4,5.2,3.7,292.0,0.0,0.0,0.0,418.0
Osaka,34.6937,135.5023,2026-03-19T07:00,11.9,42,13.2,16.9,6.2,3.5,284.0,0.0,0.0,0.0,338.0
