city,latitude,longitude,time,temperature_2m,aqi,pm2_5,pm10,no2,so2,co,precipitation,rain,showers,shortwave_radiation
Paris,48.8566,2.3522,2026-03-18T00:00,10.7,23,9.8,15.4,19.5,1.9,204.0,0.0,0.0,0.0,0.0
Paris,48.8566,2.3522,2026-03-18T01:00,10.1,23,10.0,14.0,13.7,1.6,187.0,0.0,0.0,0.0,0.0
Paris,48.8566,2.3522,2026-03-18T02:00,9.5,23,10.0,12.2,10.9,1.7,187.0,0.0,0.0,0.0,0.0
Paris,48.8566,2.3522,2026-03-18T03:00,9.2,23,9.6,11.8,10.2,1.7,181.0,0.0,0.0,0.0,0.0
Paris,48.8566,2.3522,2026-03-18T04:00,8.8,23,9.9,12.9,13.0,1.9,184.0,0.0,0.0,0.0,0.0
Paris,48.8566,2.3522,2026-03-18T05:00,8.3,23,11.2,14.9,19.4,2.5,196.0,0.0,0.0,0.0,0.0
Paris,48.8566,2.3522,2026-03-18T06:00,8.0,23,13.6,17.0,27.9,3.3,217.0,0.0,0.0,0.0,0.0
Paris,48.8566,2.3522,2026-03-18T07:00,8.1,22,15.7,19.4,39.1,4.8,336.0,0.0,0.0,0.0,42.0
Paris,48.8566,2.3522,2026-03-18T08:00,8.9,22,14.8,16.6,24.3,3.2,248.0,0.0,0.0,0.0,185.2
Paris,48.8566,2.3522,2026-03-18T09:00,11.2,24,12.2,14.8,16.7,2.1,220.0,0.0,0.0,0.0,347.8
Paris,48.8566,2.3522,2026-03-18T10:00,12.9,28,10.9,13.4,12.1,1.9,209.0,0.0,0.0,0.0,500.2
Paris,48.8566,2.3522,2026-03-18T11:00,13.9,34,9.4,11.8,9.9,1.5,196.0,0.0,0.0,0.0,612.8
Paris,48.8566,2.3522,2026-03-18T12:00,15.2,40,7.2,10.2,8.6,1.3,185.0,0.0,0.0,0.0,669.0
Paris,48.8566,2.3522,2026-03-18T13:00,15.9,43,6.2,8.3,8.0,1.2,179.0,0.0,0.0,0.0,669.2
Paris,48.8566,2.3522,2026-03-18T14:00,16.1,43,6.0,7.8,8.5,1.2,184.0,0.0,0.0,0.0,612.8
