city,latitude,longitude,time,temperature_2m,aqi,pm2_5,pm10,no2,so2,co,precipitation,rain,showers,shortwave_radiation
Riyadh,24.7136,46.6753,2026-03-18T00:00,18.9,591,183.9,1810.5,15.7,18.1,182.0,0.0,0.0,0.0,0.0
Riyadh,24.7136,46.6753,2026-03-18T01:00,18.7,580,144.4,1311.3,18.7,21.0,183.0,0.0,0.0,0.0,0.0
Riyadh,24.7136,46.6753,2026-03-18T02:00,18.3,567,121.1,1046.8,23.0,25.0,189.0,0.0,0.0,0.0,0.0
Riyadh,24.7136,46.6753,2026-03-18T03:00,18.0,557,104.1,869.9,27.1,28.5,207.0,0.0,0.0,0.0,0.0
Riyadh,24.7136,46.6753,2026-03-18T04:00,17.7,541,95.0,814.0,31.2,31.2,251.0,0.2,0.0,0.2,28.0
Riyadh,24.7136,46.6753,2026-03-18T05:00,17.7,521,89.4,800.9,35.1,33.4,307.0,0.4,0.0,0.4,84.0
Riyadh,24.7136,46.6753,2026-03-18T06:00,18.3,504,98.0,979.8,37.0,34.0,341.0,0.2,0.0,0.2,219.0
Riyadh,24.7136,46.6753,2026-03-18T07:00,18.7,494,109.9,1188.4,35.2,31.8,330.0,0.1,0.1,0.0,278.0
Riyadh,24.7136,46.6753,2026-03-18T08:00,20.0,489,113.6,1236.8,31.3,28.1,298.0,0.0,0.0,0.0,559.0
Riyadh,24.7136,46.6753,2026-03-18T09:00,22.0,487,115.7,1259.1,29.0,25.5,274.0,0.0,0.0,0.0,761.0
Riyadh,24.7136,46.6753,2026-03-18T10:00,23.9,487,116.4,1259.1,29.3,25.4,271.0,0.0,0.0,0.0,791.0
Riyadh,24.7136,46.6753,2026-03-18T11:00,25.5,486,115.9,1236.8,31.2,26.5,276.0,0.0,0.0,0.0,752.0
Riyadh,24.7136,46.6753,2026-03-18T12:00,26.2,485,122.0,1292.7,25.8,21.5,290.0,0.0,0.0,0.0,654.0
Riyadh,24.7136,46.6753,2026-03-18T13:00,26.4,485,110.8,1158.6,32.7,21.4,322.0,0.0,0.0,0.0,495.0
Riyadh,24.7136,46.6753,2026-03-18T14:00,25.8,482,131.3,1449.1,42.0,21.1,362.0,0.0,0.0,0.0,266.0
Riyadh,24.7136,46.6753,2026-03-18T15:00,25.1,483,240.3,2630.1,46.7,20.3,377.0,0.0,0.0,0.0,61.0
Riyadh,24.7136,46.6753,2026-03-18T16:00,24.4,502,312.9,1803.0,42.4,18.4,345.0,0.0,0.0,0.0,0.0
Riyadh,24.7136,46.6753,2026-03-18T17:00,23.8,505,275.7,2794.0,33.6,15.9,290.0,0.0,0.0,0.0,0.0
Riyadh,24.7136,46.6753,2026-03-18T18:00,22.7,526,234.2,2376.7,26.9,14.4,246.0,0.0,0.0,0.0,0.0
Riyadh,24.7136,46.6753,2026-03-18T19:00,21.9,556,199.3,2026.6,25.2,14.3,231.0,0.0,0.0,0.0,0.0
Riyadh,24.7136,46.6753,2026-03-18T20:00,21.1,582,174.2,1777.0,25.7,15.1,228.0,0.0,0.0,0.0,0.0
Riyadh,24.7136,46.6753,2026-03-18T21:00,20.6,606,143.9,1419.3,26.7,16.9,224.0,0.0,0.0,0.0,0.0
Riyadh,24.7136,46.6753,2026-03-18T22:00,20.1,620,95.0,752.5,27.5,20.1,210.0,0.0,0.0,0.0,0.0
Riyadh,24.7136,46.6753,2026-03-18T23:00,19.7,616,78.7,549.5,28.7,24.2,194.0,0.0,0.0,0.0,0.0
Riyadh,24.7136,46.6753,2026-03-19T00:00,19.3,604,99.2,877.3,23.5,20.8,186.0,0.0,0.0,0.0,0.0
Riyadh,24.7136,46.6753,2026-03-19T01:00,19.1,588,65.7,420.0,25.2,24.6,187.0,0.0,0.0,0.0,0.0
Riyadh,24.7136,46.6753,2026-03-19T02:00,18.0,574,73.3,575.6,27.6,30.1,196.0,0.6,0.0,0.6,0.0
Riyadh,24.7136,46.6753,2026-03-19T03:00,17.8,566,113.6,1132.5,30.1,36.4,216.0,0.0,0.0,0.0,0.0
Riyadh,24.7136,46.6753,2026-03-19T04:00,18.6,570,122.5,1184.6,33.2,45.0,261.0,0.0,0.0,0.0,36.0
Riyadh,24.7136,46.6753,2026-03-19T05:00,19.4,576,113.4,1058.0,36.3,54.5,318.0,0.0,0.0,0.0,148.0
Riyadh,24.7136,46.6753,2026-03-19T06:00,20.1,581,117.8,1151.1,37.1,59.6,350.0,0.0,0.0,0.0,362.0
Riyadh,24.7136,46.6753,2026-03-19T07:00,21.2,583,135.5,1408.2,33.5,56.9,331.0,0.0,0.0,0.0,458.0
Riyadh,24.7136,46.6753,2026-03-19T08:00,22.4,587,149.9,1587.0,27.4,49.8,286.0,0.0,0.0,0.0,506.0
Riyadh,24.7136,46.6753,2026-03-19T09:00,23.3,593,170.9,1832.8,22.6,43.3,257.0,0.0,0.0,0.0,423.0
Riyadh,24.7136,46.6753,2026-03-19T10:00,24.1,603,191.4,2041.5,20.2,39.4,262.0,0.0,0.0,0.0,454.0
Riyadh,24.7136,46.6753,2026-03-19T11:00,24.2,616,222.6,2384.2,18.9,36.2,282.0,0.0,0.0,0.0,366.0
Riyadh,24.7136,46.6753,2026-03-19T12:00,23.3,635,194.6,2145.8,22.4,20.6,306.0,0.0,0.0,0.0,264.0
Riyadh,24.7136,46.6753,2026-03-19T13:00,24.4,649,288.7,3196.3,24.0,20.3,340.0,0.0,0.0,0.0,298.0
Riyadh,24.7136,46.6753,2026-03-19T14:00,24.3,683,351.1,2548.1,26.2,19.8,377.0,0.0,0.0,0.0,153.0
Riyadh,24.7136,46.6753,2026-03-19T15:00,23.5,701,343.7,2525.7,27.6,19.7,390.0,0.0,0.0,0.0,35.0
Riyadh,24.7136,46.6753,2026-03-19T16:00,23.2,699,311.1,3062.2,27.9,20.4,357.0,0.0,0.0,0.0,0.0
Riyadh,24.7136,46.6753,2026-03-19T17:00,22.8,720,262.6,2600.3,27.4,21.3,299.0,0.0,0.0,0.0,0.0
Riyadh,24.7136,46.6753,2026-03-19T18:00,22.5,717,262.6,2712.0,26.0,21.4,250.0,0.0,0.0,0.0,0.0
Riyadh,24.7136,46.6753,2026-03-19T19:00,22.5,723,289.6,2928.1,23.2,19.6,224.0,0.0,0.0,0.0,0.0
Riyadh,24.7136,46.6753,2026-03-19T20:00,22.2,738,308.3,3092.0,19.4,16.9,207.0,0.0,0.0,0.0,0.0
Riyadh,24.7136,46.6753,2026-03-19T21:00,21.7,760,312.9,3099.4,16.2,15.1,194.0,0.0,0.0,0.0,0.0
Riyadh,24.7136,46.6753,2026-03-19T22:00,20.2,788,231.0,2183.0,13.9,14.9,183.0,0.7,0.0,0.7,0.0
Riyadh,24.7136,46.6753,2026-03-19T23:00,20.7,812,166.7,1356.0,12.1,15.6,176.0,0.0,0.0,0.0,0.0
Riyadh,24.7136,46.6753,2026-03-20T00:00,20.9,825,249.6,2250.1,9.5,15.4,173.0,0.1,0.0,0.1,0.0
Riyadh,24.7136,46.6753,2026-03-20T01:00,20.9,848,367.9,916.4,10.9,17.7,173.0,0.0,0.0,0.0,0.0
Riyadh,24.7136,46.6753,2026-03-20T02:00,20.9,856,358.6,3255.9,12.7,20.9,176.0,0.0,0.0,0.0,0.0
Riyadh,24.7136,46.6753,2026-03-20T03:00,20.4,901,353.0,3166.5,14.2,23.1,182.0,0.0,0.0,0.0,0.0
Riyadh,24.7136,46.6753,2026-03-20T04:00,20.3,935,335.3,2913.2,15.1,23.5,194.0,0.0,0.0,0.0,71.0
Riyadh,24.7136,46.6753,2026-03-20T05:00,20.4,964,286.8,2503.4,15.5,22.9,208.0,0.0,0.0,0.0,291.0
Riyadh,24.7136,46.6753,2026-03-20T06:00,20.5,988,270.1,2473.6,15.3,21.9,213.0,0.0,0.0,0.0,532.0
Riyadh,24.7136,46.6753,2026-03-20T07:00,21.4,1010,251.5,2406.5,13.9,20.6,201.0,0.0,0.0,0.0,742.0
Riyadh,24.7136,46.6753,2026-03-20T08:00,22.6,1026,240.3,2376.7,11.9,18.9,180.0,0.0,0.0,0.0,892.0
Riyadh,24.7136,46.6753,2026-03-20T09:00,23.4,1039,225.8,2294.8,10.5,17.6,165.0,0.0,0.0,0.0,973.0
Riyadh,24.7136,46.6753,2026-03-20T10:00,24.1,1047,209.5,2190.5,9.7,16.7,160.0,0.0,0.0,0.0,977.0
Riyadh,24.7136,46.6753,2026-03-20T11:00,24.6,1050,192.3,2041.5,9.6,16.1,162.0,0.0,0.0,0.0,892.0
Riyadh,24.7136,46.6753,2026-03-20T12:00,25.2,1044,148.5,1560.9,11.9,14.8,171.0,0.0,0.0,0.0,720.0
Riyadh,24.7136,46.6753,2026-03-20T13:00,25.2,1034,132.7,1378.4,18.6,17.0,193.0,0.0,0.0,0.0,533.0
Riyadh,24.7136,46.6753,2026-03-20T14:00,24.9,1004,110.1,1087.8,28.5,20.3,224.0,0.0,0.0,0.0,293.0
Riyadh,24.7136,46.6753,2026-03-20T15:00,24.3,980,88.0,715.3,42.0,24.3,251.0,0.0,0.0,0.0,74.0
Riyadh,24.7136,46.6753,2026-03-20T16:00,23.7,949,89.9,648.2,64.9,30.4,275.0,0.0,0.0,0.0,0.0
Riyadh,24.7136,46.6753,2026-03-20T17:00,23.2,909,89.9,592.3,91.2,37.1,296.0,0.0,0.0,0.0,0.0
Riyadh,24.7136,46.6753,2026-03-20T18:00,22.3,876,79.2,454.5,103.2,39.7,302.0,0.0,0.0,0.0,0.0
Riyadh,24.7136,46.6753,2026-03-20T19:00,21.8,838,89.9,670.6,88.3,34.5,283.0,0.0,0.0,0.0,0.0
Riyadh,24.7136,46.6753,2026-03-20T20:00,21.4,800,120.6,1158.6,59.0,25.1,250.0,0.0,0.0,0.0,0.0
Riyadh,24.7136,46.6753,2026-03-20T21:00,21.3,768,154.6,1613.1,35.2,17.6,222.0,0.0,0.0,0.0,0.0
Riyadh,24.7136,46.6753,2026-03-20T22:00,20.7,743,164.4,1706.2,24.4,14.5,205.0,0.0,0.0,0.0,0.0
