city,latitude,longitude,time,temperature_2m,aqi,pm2_5,pm10,no2,so2,co,precipitation,rain,showers,shortwave_radiation
Stockholm,59.3293,18.0686,2026-03-18T00:00,2.0,26,5.5,8.2,4.9,0.5,177.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-18T01:00,2.0,26,5.1,7.4,4.5,0.5,170.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-18T02:00,1.7,26,4.1,6.9,4.4,0.5,167.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-18T03:00,1.5,25,4.1,7.1,4.3,0.5,166.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-18T04:00,1.5,26,4.5,7.6,4.0,0.5,166.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-18T05:00,1.4,26,5.2,8.6,4.7,0.5,166.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-18T06:00,1.5,27,5.9,10.4,5.9,0.6,168.0,0.0,0.0,0.0,35.0
Stockholm,59.3293,18.0686,2026-03-18T07:00,2.2,27,6.7,12.5,7.3,0.7,185.0,0.0,0.0,0.0,117.0
Stockholm,59.3293,18.0686,2026-03-18T08:00,4.2,28,6.9,11.5,8.0,0.7,188.0,0.0,0.0,0.0,229.0
Stockholm,59.3293,18.0686,2026-03-18T09:00,5.9,28,6.8,10.5,5.8,0.7,181.0,0.0,0.0,0.0,322.0
Stockholm,59.3293,18.0686,2026-03-18T10:00,7.5,30,6.9,10.6,4.5,0.7,175.0,0.0,0.0,0.0,422.0
Stockholm,59.3293,18.0686,2026-03-18T11:00,8.6,30,6.7,10.8,4.4,0.6,174.0,0.0,0.0,0.0,460.0
Stockholm,59.3293,18.0686,2026-03-18T12:00,9.4,31,6.3,10.4,4.2,0.6,173.0,0.0,0.0,0.0,467.0
Stockholm,59.3293,18.0686,2026-03-18T13:00,10.5,32,5.9,9.6,4.5,0.6,172.0,0.0,0.0,0.0,369.0
Stockholm,59.3293,18.0686,2026-03-18T14:00,10.1,32,5.4,9.5,5.5,0.6,172.0,0.0,0.0,0.0,207.0
Stockholm,59.3293,18.0686,2026-03-18T15:00,9.3,32,5.7,10.7,7.3,0.5,175.0,0.0,0.0,0.0,189.0
Stockholm,59.3293,18.0686,2026-03-18T16:00,8.3,31,6.9,13.5,11.3,0.6,198.0,0.0,0.0,0.0,114.0
Stockholm,59.3293,18.0686,2026-03-18T17:00,8.1,29,7.4,13.0,12.8,0.6,205.0,0.0,0.0,0.0,22.0
Stockholm,59.3293,18.0686,2026-03-18T18:00,7.2,28,7.8,12.3,11.1,0.6,199.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-18T19:00,7.5,28,8.2,12.4,7.9,0.6,175.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-18T20:00,7.5,30,8.4,12.9,7.1,0.6,172.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-18T21:00,7.6,30,9.1,13.9,5.8,0.7,173.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-18T22:00,7.9,30,10.2,14.6,4.9,0.6,172.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-18T23:00,8.0,30,11.2,14.4,4.3,0.6,170.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-19T00:00,8.0,28,9.3,14.5,3.6,0.6,169.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-19T01:00,7.9,28,10.6,15.5,3.0,0.5,166.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-19T02:00,7.9,28,11.8,16.2,3.2,0.5,168.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-19T03:00,7.6,26,12.3,17.4,3.6,0.4,170.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-19T04:00,7.4,24,14.2,18.9,3.8,0.3,171.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-19T05:00,7.2,22,15.8,20.8,4.9,0.3,176.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-19T06:00,7.1,22,17.5,23.9,5.8,0.4,185.0,0.0,0.0,0.0,9.0
Stockholm,59.3293,18.0686,2026-03-19T07:00,7.4,20,18.7,26.6,8.9,0.5,217.0,0.0,0.0,0.0,34.0
Stockholm,59.3293,18.0686,2026-03-19T08:00,7.7,19,18.5,27.7,9.5,0.4,217.0,0.0,0.0,0.0,59.0
Stockholm,59.3293,18.0686,2026-03-19T09:00,8.2,20,17.2,26.8,8.0,0.5,212.0,0.0,0.0,0.0,96.0
Stockholm,59.3293,18.0686,2026-03-19T10:00,8.8,21,16.3,26.0,7.8,0.5,208.0,0.0,0.0,0.0,170.0
Stockholm,59.3293,18.0686,2026-03-19T11:00,9.7,22,14.5,22.8,7.4,0.6,204.0,0.0,0.0,0.0,229.0
Stockholm,59.3293,18.0686,2026-03-19T12:00,10.4,23,10.7,21.0,7.9,0.6,202.0,0.0,0.0,0.0,292.0
Stockholm,59.3293,18.0686,2026-03-19T13:00,10.7,26,8.3,18.7,7.5,0.5,194.0,0.0,0.0,0.0,266.0
Stockholm,59.3293,18.0686,2026-03-19T14:00,10.6,27,6.0,11.8,7.4,0.6,185.0,0.0,0.0,0.0,341.0
Stockholm,59.3293,18.0686,2026-03-19T15:00,10.8,28,4.8,12.8,8.4,0.5,179.0,0.0,0.0,0.0,258.0
Stockholm,59.3293,18.0686,2026-03-19T16:00,10.4,23,5.4,12.9,13.6,0.4,205.0,0.0,0.0,0.0,137.0
Stockholm,59.3293,18.0686,2026-03-19T17:00,9.4,23,5.6,16.3,18.5,0.6,226.0,0.0,0.0,0.0,30.0
Stockholm,59.3293,18.0686,2026-03-19T18:00,8.0,23,6.4,16.1,26.1,0.6,245.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-19T19:00,7.1,23,6.9,17.2,30.2,1.0,229.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-19T20:00,5.4,22,7.8,17.8,29.3,1.4,216.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-19T21:00,4.6,22,9.5,19.4,28.8,1.8,238.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-19T22:00,4.3,22,10.2,20.7,32.2,1.7,238.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-19T23:00,3.8,22,10.3,20.2,31.5,1.2,230.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-20T00:00,3.4,22,8.5,18.5,18.2,0.7,239.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-20T01:00,2.7,22,8.1,15.7,15.1,0.6,234.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-20T02:00,2.1,22,7.5,13.6,13.7,0.7,216.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-20T03:00,1.8,22,7.0,11.4,14.4,0.8,210.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-20T04:00,1.5,21,6.4,9.2,15.6,0.7,193.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-20T05:00,1.2,21,5.9,8.8,17.5,0.7,183.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-20T06:00,1.6,20,5.9,10.9,19.2,1.1,220.0,0.0,0.0,0.0,49.0
Stockholm,59.3293,18.0686,2026-03-20T07:00,2.8,19,7.2,18.9,24.3,1.6,300.0,0.0,0.0,0.0,161.0
Stockholm,59.3293,18.0686,2026-03-20T08:00,4.7,18,8.3,18.9,27.8,1.4,324.0,0.0,0.0,0.0,261.0
Stockholm,59.3293,18.0686,2026-03-20T09:00,7.0,19,6.0,13.7,27.2,1.5,302.0,0.0,0.0,0.0,374.0
Stockholm,59.3293,18.0686,2026-03-20T10:00,9.0,26,5.9,11.6,16.3,1.4,262.0,0.0,0.0,0.0,456.0
Stockholm,59.3293,18.0686,2026-03-20T11:00,9.9,28,3.8,7.8,12.0,1.0,215.0,0.0,0.0,0.0,496.0
Stockholm,59.3293,18.0686,2026-03-20T12:00,10.8,30,2.5,5.9,8.2,0.7,184.0,0.0,0.0,0.0,491.0
Stockholm,59.3293,18.0686,2026-03-20T13:00,11.3,31,2.5,5.6,5.8,0.5,180.0,0.0,0.0,0.0,449.0
Stockholm,59.3293,18.0686,2026-03-20T14:00,11.3,32,2.7,5.7,7.0,0.5,183.0,0.0,0.0,0.0,370.0
Stockholm,59.3293,18.0686,2026-03-20T15:00,11.2,34,3.0,7.0,12.5,0.5,203.0,0.0,0.0,0.0,264.0
Stockholm,59.3293,18.0686,2026-03-20T16:00,10.6,29,4.1,10.4,23.3,0.6,232.0,0.0,0.0,0.0,142.0
Stockholm,59.3293,18.0686,2026-03-20T17:00,9.9,23,5.2,12.9,26.2,0.8,258.0,0.0,0.0,0.0,35.0
Stockholm,59.3293,18.0686,2026-03-20T18:00,8.0,22,5.8,12.8,22.2,0.8,250.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-20T19:00,6.6,20,5.6,10.4,15.3,0.8,199.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-20T20:00,5.7,21,4.8,8.4,11.4,0.8,181.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-20T21:00,5.3,22,4.4,7.8,9.6,0.7,176.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-20T22:00,5.1,23,4.3,7.2,8.6,0.6,176.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-20T23:00,4.8,24,4.3,8.2,7.9,0.5,175.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-21T00:00,4.6,25,3.4,5.9,7.0,0.6,173.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-21T01:00,4.3,25,3.0,4.9,6.0,0.5,166.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-21T02:00,4.1,23,3.0,4.8,5.3,0.5,166.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-21T03:00,3.8,22,3.2,5.4,5.2,0.5,166.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-21T04:00,3.5,21,3.7,5.7,5.2,0.5,165.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-21T05:00,3.1,20,4.0,6.7,4.9,0.5,166.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-21T06:00,3.6,19,4.4,7.5,5.6,0.5,175.0,0.0,0.0,0.0,51.0
Stockholm,59.3293,18.0686,2026-03-21T07:00,5.3,22,4.8,8.3,5.1,0.5,199.0,0.0,0.0,0.0,160.0
Stockholm,59.3293,18.0686,2026-03-21T08:00,7.2,23,5.0,8.4,3.7,0.5,195.0,0.0,0.0,0.0,279.0
Stockholm,59.3293,18.0686,2026-03-21T09:00,9.4,26,4.4,9.0,3.3,0.5,185.0,0.0,0.0,0.0,385.0
Stockholm,59.3293,18.0686,2026-03-21T10:00,10.7,28,4.1,8.4,3.3,0.5,173.0,0.0,0.0,0.0,456.0
Stockholm,59.3293,18.0686,2026-03-21T11:00,11.7,30,3.6,7.8,2.9,0.4,170.0,0.0,0.0,0.0,495.0
Stockholm,59.3293,18.0686,2026-03-21T12:00,12.6,30,3.4,6.8,2.5,0.4,166.0,0.0,0.0,0.0,498.0
Stockholm,59.3293,18.0686,2026-03-21T13:00,13.1,32,3.4,7.0,2.4,0.4,164.0,0.0,0.0,0.0,444.0
Stockholm,59.3293,18.0686,2026-03-21T14:00,13.2,31,3.4,6.0,2.9,0.3,165.0,0.0,0.0,0.0,367.0
Stockholm,59.3293,18.0686,2026-03-21T15:00,13.2,30,3.6,6.6,3.8,0.3,167.0,0.0,0.0,0.0,264.0
Stockholm,59.3293,18.0686,2026-03-21T16:00,12.3,30,4.2,7.3,4.7,0.4,168.0,0.0,0.0,0.0,147.0
Stockholm,59.3293,18.0686,2026-03-21T17:00,10.8,29,4.6,9.1,5.3,0.4,192.0,0.0,0.0,0.0,38.0
Stockholm,59.3293,18.0686,2026-03-21T18:00,9.2,28,4.6,9.4,6.2,0.5,201.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-21T19:00,8.4,28,4.7,9.2,6.6,0.5,171.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-21T20:00,7.8,28,4.3,8.5,6.6,0.5,171.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-21T21:00,7.4,27,4.3,8.3,6.2,0.5,172.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-21T22:00,7.2,28,4.5,8.0,5.9,0.4,171.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-21T23:00,6.5,27,4.5,8.5,5.1,0.3,170.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-22T00:00,6.0,26,4.6,8.5,4.4,0.2,171.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-22T01:00,5.5,26,4.9,8.3,4.2,0.2,167.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-22T02:00,5.1,26,5.3,8.7,3.4,0.2,165.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-22T03:00,4.7,25,5.5,7.6,3.3,0.2,163.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-22T04:00,4.2,24,5.2,7.3,3.3,0.2,162.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-22T05:00,3.8,24,5.3,7.3,3.2,0.3,162.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-22T06:00,3.7,25,5.5,7.5,3.1,0.3,166.0,0.0,0.0,0.0,27.0
Stockholm,59.3293,18.0686,2026-03-22T07:00,4.9,27,6.0,7.7,2.9,0.4,180.0,0.0,0.0,0.0,82.0
Stockholm,59.3293,18.0686,2026-03-22T08:00,6.1,28,6.3,7.2,2.7,0.6,176.0,0.0,0.0,0.0,151.0
Stockholm,59.3293,18.0686,2026-03-22T09:00,8.2,29,5.4,6.3,2.5,0.7,168.0,0.0,0.0,0.0,336.0
Stockholm,59.3293,18.0686,2026-03-22T10:00,9.5,29,3.7,4.8,2.3,0.6,166.0,0.0,0.0,0.0,460.0
Stockholm,59.3293,18.0686,2026-03-22T11:00,10.5,30,2.9,4.8,2.2,0.5,164.0,0.0,0.0,0.0,509.0
Stockholm,59.3293,18.0686,2026-03-22T12:00,11.0,33,2.7,4.7,2.2,0.4,162.0,0.0,0.0,0.0,512.0
Stockholm,59.3293,18.0686,2026-03-22T13:00,11.5,34,2.7,4.5,2.3,0.5,162.0,0.0,0.0,0.0,467.0
Stockholm,59.3293,18.0686,2026-03-22T14:00,11.1,33,2.6,4.6,2.5,0.6,162.0,0.0,0.0,0.0,388.0
Stockholm,59.3293,18.0686,2026-03-22T15:00,10.6,32,2.6,4.4,2.9,0.7,165.0,0.0,0.0,0.0,278.0
Stockholm,59.3293,18.0686,2026-03-22T16:00,9.9,32,3.0,5.1,3.8,0.7,166.0,0.0,0.0,0.0,145.0
Stockholm,59.3293,18.0686,2026-03-22T17:00,8.8,32,3.6,6.0,5.3,0.8,190.0,0.0,0.0,0.0,43.0
Stockholm,59.3293,18.0686,2026-03-22T18:00,7.5,30,4.1,6.9,6.4,0.8,186.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-22T19:00,6.4,30,4.3,8.0,5.7,0.8,167.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-22T20:00,5.8,30,4.8,8.2,4.6,0.9,165.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-22T21:00,5.8,31,5.0,8.2,3.7,0.9,162.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-22T22:00,5.5,32,5.3,7.8,3.4,1.0,160.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-22T23:00,5.3,31,5.2,7.9,3.3,0.9,161.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-23T00:00,5.4,31,7.3,8.2,3.0,0.7,160.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-23T01:00,4.9,31,7.6,8.5,2.8,0.6,160.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-23T02:00,4.7,31,7.4,9.0,2.4,0.7,163.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-23T03:00,4.6,30,7.1,9.9,2.4,0.7,166.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-23T04:00,4.3,29,7.6,11.0,2.8,0.8,169.0,0.0,0.0,0.0,0.0
Stockholm,59.3293,18.0686,2026-03-23T05:00,3.9,28,8.8,12.2,4.1,0.9,173.0,0.0,0.0,0.0,2.0
Stockholm,59.3293,18.0686,2026-03-23T06:00,4.2,28,10.5,13.2,5.0,1.0,183.0,0.0,0.0,0.0,43.0
Stockholm,59.3293,18.0686,2026-03-23T07:00,5.0,29,11.9,15.1,6.1,1.0,193.0,0.0,0.0,0.0,64.0
Stockholm,59.3293,18.0686,2026-03-23T08:00,5.8,28,12.9,16.4,5.7,1.0,192.0,0.0,0.0,0.0,103.0
Stockholm,59.3293,18.0686,2026-03-23T09:00,7.0,28,12.4,16.1,5.8,0.9,189.0,0.0,0.0,0.0,214.0
