city,latitude,longitude,time,temperature_2m,aqi,pm2_5,pm10,no2,so2,co,precipitation,rain,showers,shortwave_radiation
Tokyo,35.6895,139.6917,2026-03-18T00:00,8.9,67,38.1,43.1,61.6,49.3,398.0,0.0,0.0,0.0,313.0
Tokyo,35.6895,139.6917,2026-03-18T01:00,10.6,67,39.5,45.8,60.8,43.8,384.0,0.0,0.0,0.0,486.0
Tokyo,35.6895,139.6917,2026-03-18T02:00,12.6,67,29.9,33.9,59.3,36.0,370.0,0.0,0.0,0.0,633.0
Tokyo,35.6895,139.6917,2026-03-18T03:00,14.7,67,24.3,27.2,55.4,28.7,360.0,0.0,0.0,0.0,551.0
Tokyo,35.6895,139.6917,2026-03-18T04:00,15.4,67,18.0,20.4,46.0,22.4,353.0,0.0,0.0,0.0,640.0
Tokyo,35.6895,139.6917,2026-03-18T05:00,15.3,67,17.1,20.8,34.3,16.7,350.0,0.0,0.0,0.0,435.0
Tokyo,35.6895,139.6917,2026-03-18T06:00,15.0,66,10.5,12.3,27.4,13.2,355.0,0.0,0.0,0.0,274.0
Tokyo,35.6895,139.6917,2026-03-18T07:00,15.0,66,10.0,11.9,29.2,12.9,374.0,0.0,0.0,0.0,244.0
Tokyo,35.6895,139.6917,2026-03-18T08:00,14.4,65,11.8,13.9,36.0,14.9,401.0,0.0,0.0,0.0,127.0
Tokyo,35.6895,139.6917,2026-03-18T09:00,12.6,65,15.1,17.8,43.7,17.9,420.0,0.0,0.0,0.0,21.0
Tokyo,35.6895,139.6917,2026-03-18T10:00,11.9,65,19.4,22.4,54.2,22.9,427.0,0.0,0.0,0.0,0.0
Tokyo,35.6895,139.6917,2026-03-18T11:00,11.4,65,23.9,26.8,65.7,28.9,425.0,0.0,0.0,0.0,0.0
Tokyo,35.6895,139.6917,2026-03-18T12:00,10.9,64,31.7,35.3,84.4,38.0,409.0,0.0,0.0,0.0,0.0
Tokyo,35.6895,139.6917,2026-03-18T13:00,11.2,64,25.2,28.3,64.6,30.3,369.0,0.0,0.0,0.0,0.0
Tokyo,35.6895,139.6917,2026-03-18T14:00,11.1,64,19.2,23.0,37.3,19.6,314.0,0.1,0.1,0.0,0.0
Tokyo,35.6895,139.6917,2026-03-18T15:00,10.6,64,15.1,19.3,17.5,11.8,273.0,0.1,0.1,0.0,0.0
Tokyo,35.6895,139.6917,2026-03-18T16:00,10.6,63,13.2,17.0,11.9,9.2,251.0,0.2,0.2,0.0,0.0
Tokyo,35.6895,139.6917,2026-03-18T17:00,10.8,62,12.3,15.6,13.7,9.5,241.0,0.0,0.0,0.0,0.0
Tokyo,35.6895,139.6917,2026-03-18T18:00,10.8,61,11.2,13.9,17.6,10.8,256.0,0.0,0.0,0.0,0.0
Tokyo,35.6895,139.6917,2026-03-18T19:00,11.1,60,10.7,12.9,22.8,12.6,313.0,0.0,0.0,0.0,0.0
Tokyo,35.6895,139.6917,2026-03-18T20:00,10.6,55,11.5,13.1,30.2,15.4,393.0,0.0,0.0,0.0,0.0
Tokyo,35.6895,139.6917,2026-03-18T21:00,9.1,51,15.8,16.9,36.9,19.5,452.0,0.0,0.0,0.0,0.0
Tokyo,35.6895,139.6917,2026-03-18T22:00,8.6,47,26.3,27.0,42.6,26.3,471.0,3.3,3.3,0.0,12.0
Tokyo,35.6895,139.6917,2026-03-18T23:00,8.7,43,33.8,34.3,47.7,34.4,469.0,0.1,0.1,0.0,52.0
Tokyo,35.6895,139.6917,2026-03-19T00:00,9.4,41,30.5,31.5,47.3,38.1,452.0,0.1,0.1,0.0,166.0
